#TLB experiment
#	page size = 64 bytes
#	max number of pages = 4096
#	total number of references = 10 Mi
#pages	 proc	 sum
1092	 0.00728	 10485384
1094	 0.00714	 10484896
1096	 0.00720	 10485432
1098	 0.00737	 10484802
1100	 0.00722	 10485200
1102	 0.00719	 10485530
1104	 0.00740	 10484688
1106	 0.00718	 10484880
1108	 0.00742	 10485004
1110	 0.00738	 10485060
1112	 0.00713	 10485048
1114	 0.00727	 10484968
1116	 0.00735	 10484820
1118	 0.00729	 10485722
1120	 0.00731	 10485440
1122	 0.00725	 10485090
1124	 0.00742	 10484672
1126	 0.00724	 10485312
1128	 0.00724	 10484760
1130	 0.00744	 10485270
1132	 0.00722	 10485716
1134	 0.00699	 10484964
1136	 0.00722	 10485280
1138	 0.00737	 10485532
1140	 0.00715	 10485720
1142	 0.00723	 10484702
1144	 0.00722	 10484760
1146	 0.00676	 10484754
1148	 0.00713	 10484684
1150	 0.00707	 10485700
1152	 0.00730	 10485504
1154	 0.00691	 10485244
1156	 0.00691	 10484920
1158	 0.00742	 10485690
1160	 0.00744	 10485240
1162	 0.00696	 10484726
1164	 0.00745	 10485312
1166	 0.00741	 10484672
1168	 0.00713	 10485136
1170	 0.00735	 10485540
1172	 0.00713	 10484712
1174	 0.00738	 10484994
1176	 0.00727	 10485216
1178	 0.00725	 10485378
1180	 0.00729	 10485480
1182	 0.00728	 10485522
1184	 0.00729	 10485504
1186	 0.00716	 10485426
1188	 0.00728	 10485288
1190	 0.00732	 10485090
1192	 0.00718	 10484832
1194	 0.00722	 10485708
1196	 0.00716	 10485332
1198	 0.00727	 10484896
1200	 0.00731	 10485600
1202	 0.00713	 10485046
1204	 0.00679	 10485636
1206	 0.00757	 10484964
1208	 0.00730	 10485440
1210	 0.00748	 10484650
1212	 0.00740	 10485012
1214	 0.00760	 10485318
1216	 0.00729	 10485568
1218	 0.00734	 10484544
1220	 0.00743	 10484680
1222	 0.00728	 10484760
1224	 0.00708	 10484784
1226	 0.00746	 10484752
1228	 0.00696	 10484664
1230	 0.00741	 10485750
1232	 0.00771	 10485552
1234	 0.00744	 10485298
1236	 0.00720	 10484988
1238	 0.00735	 10484622
1240	 0.00726	 10485440
1242	 0.00762	 10484964
1244	 0.00750	 10485676
1246	 0.00715	 10485090
1248	 0.00732	 10485696
1250	 0.00730	 10485000
1252	 0.00728	 10485500
1254	 0.00731	 10484694
1256	 0.00730	 10485088
1258	 0.00749	 10485430
1260	 0.00735	 10485720
1262	 0.00744	 10484696
